system:index,landcover,.geo
0,1,"{""type"":""Point"",""coordinates"":[106.98678626073605,-5.936303944984409]}"
1,1,"{""type"":""Point"",""coordinates"":[106.98661459935909,-5.937029593078129]}"
2,1,"{""type"":""Point"",""coordinates"":[106.98622836126094,-5.937584499799055]}"
3,1,"{""type"":""Point"",""coordinates"":[106.98824538244016,-5.935492925395869]}"
4,1,"{""type"":""Point"",""coordinates"":[106.98790205968623,-5.936474685798314]}"
5,1,"{""type"":""Point"",""coordinates"":[106.98777331365352,-5.936901537601624]}"
6,1,"{""type"":""Point"",""coordinates"":[106.98725832952266,-5.938224776090189]}"
7,1,"{""type"":""Point"",""coordinates"":[106.98906077398068,-5.93519412840448]}"
8,1,"{""type"":""Point"",""coordinates"":[106.98884619725948,-5.93617588933926]}"
9,1,"{""type"":""Point"",""coordinates"":[106.98867453588252,-5.937157648524875]}"
10,1,"{""type"":""Point"",""coordinates"":[106.98871745122676,-5.938779681607188]}"
11,1,"{""type"":""Point"",""coordinates"":[106.99129237188106,-5.93523681369889]}"
12,1,"{""type"":""Point"",""coordinates"":[106.99275149358516,-5.934895331251098]}"
13,1,"{""type"":""Point"",""coordinates"":[106.99429644597774,-5.93434042182222]}"
14,1,"{""type"":""Point"",""coordinates"":[106.99541224492795,-5.934041624206043]}"
15,1,"{""type"":""Point"",""coordinates"":[106.99124945653682,-5.935877092718178]}"
16,1,"{""type"":""Point"",""coordinates"":[106.9927944089294,-5.935450240121304]}"
17,1,"{""type"":""Point"",""coordinates"":[106.99622763646846,-5.9337001410178045]}"
18,1,"{""type"":""Point"",""coordinates"":[106.99824465764767,-5.936474685798314]}"
19,1,"{""type"":""Point"",""coordinates"":[106.99923171056514,-5.9365600561854395]}"
20,1,"{""type"":""Point"",""coordinates"":[107.00013293279416,-5.936645426559318]}"
21,1,"{""type"":""Point"",""coordinates"":[106.99957503331906,-5.937371074203306]}"
22,1,"{""type"":""Point"",""coordinates"":[106.99880255712277,-5.938267461149799]}"
23,1,"{""type"":""Point"",""coordinates"":[106.99845923436885,-5.939206531624463]}"
24,1,"{""type"":""Point"",""coordinates"":[106.99897421849971,-5.939035791657249]}"
25,1,"{""type"":""Point"",""coordinates"":[106.99983252538448,-5.939548011400094]}"
26,1,"{""type"":""Point"",""coordinates"":[107.00133456243283,-5.939974860821868]}"
27,1,"{""type"":""Point"",""coordinates"":[107.00116290105586,-5.940700504079554]}"
28,1,"{""type"":""Point"",""coordinates"":[107.00043334020381,-5.940913928385117]}"
29,1,"{""type"":""Point"",""coordinates"":[106.99901713384395,-5.940572449456507]}"
30,1,"{""type"":""Point"",""coordinates"":[106.99807299627072,-5.940230970316122]}"
31,1,"{""type"":""Point"",""coordinates"":[106.99700011266475,-5.940230970316121]}"
32,1,"{""type"":""Point"",""coordinates"":[106.99627055181271,-5.9404017099127895]}"
33,1,"{""type"":""Point"",""coordinates"":[106.99433936132199,-5.941170037442592]}"
34,1,"{""type"":""Point"",""coordinates"":[106.99365271581418,-5.941212722273913]}"
35,1,"{""type"":""Point"",""coordinates"":[106.9936956311584,-5.941852994346728]}"
36,1,"{""type"":""Point"",""coordinates"":[106.99463976873166,-5.941767624780046]}"
37,1,"{""type"":""Point"",""coordinates"":[106.99352396978146,-5.94219447248109]}"
38,1,"{""type"":""Point"",""coordinates"":[106.99283732427365,-5.942578635129025]}"
39,1,"{""type"":""Point"",""coordinates"":[106.99086321843868,-5.943261590285562]}"
40,1,"{""type"":""Point"",""coordinates"":[106.99034823430783,-5.943816490726242]}"
41,1,"{""type"":""Point"",""coordinates"":[106.98979033483272,-5.942792058706471]}"
42,1,"{""type"":""Point"",""coordinates"":[106.99017657293088,-5.943816490726242]}"
43,1,"{""type"":""Point"",""coordinates"":[106.99116362584834,-5.943389644283069]}"
44,1,"{""type"":""Point"",""coordinates"":[107.00262202275998,-5.940871243530628]}"
45,1,"{""type"":""Point"",""coordinates"":[107.00395239843135,-5.9414261463809215]}"
46,1,"{""type"":""Point"",""coordinates"":[107.00549735082394,-5.942493265674873]}"
47,1,"{""type"":""Point"",""coordinates"":[107.00652731908565,-5.943304274954714]}"
48,1,"{""type"":""Point"",""coordinates"":[107.00764311803584,-5.944456759770228]}"
49,1,"{""type"":""Point"",""coordinates"":[107.00893057836299,-5.946078771347191]}"
50,1,"{""type"":""Point"",""coordinates"":[107.00966013921504,-5.94727393471214]}"
51,1,"{""type"":""Point"",""coordinates"":[107.01001501104142,-5.947572725147591]}"
52,1,"{""type"":""Point"",""coordinates"":[107.01095914861467,-5.9487678852660695]}"
53,1,"{""type"":""Point"",""coordinates"":[107.01173162481096,-5.949706937822494]}"
54,1,"{""type"":""Point"",""coordinates"":[107.01155996343401,-5.950219147631782]}"
55,1,"{""type"":""Point"",""coordinates"":[107.01297616979386,-5.952524085866991]}"
56,1,"{""type"":""Point"",""coordinates"":[107.01186526630221,-5.922358225768416]}"
57,1,"{""type"":""Point"",""coordinates"":[107.01182235095797,-5.922699715975909]}"
58,1,"{""type"":""Point"",""coordinates"":[107.01353896472752,-5.924876711084631]}"
59,1,"{""type"":""Point"",""coordinates"":[107.01375354144871,-5.9248340249885425]}"
60,1,"{""type"":""Point"",""coordinates"":[107.0214783034116,-5.921675244720042]}"
61,1,"{""type"":""Point"",""coordinates"":[107.02207911823092,-5.921931362712152]}"
62,1,"{""type"":""Point"",""coordinates"":[107.02212203357517,-5.922528970898561]}"
63,1,"{""type"":""Point"",""coordinates"":[107.02276576373873,-5.922230166886171]}"
64,1,"{""type"":""Point"",""coordinates"":[107.0232807478696,-5.922315539477639]}"
65,1,"{""type"":""Point"",""coordinates"":[107.02482570026218,-5.9235107543724705]}"
66,1,"{""type"":""Point"",""coordinates"":[107.02551234577,-5.923638812957775]}"
67,1,"{""type"":""Point"",""coordinates"":[107.02534068439304,-5.924364477713581]}"
68,1,"{""type"":""Point"",""coordinates"":[107.02495444629488,-5.925132827591945]}"
69,1,"{""type"":""Point"",""coordinates"":[107.02345240924656,-5.927181755372627]}"
70,1,"{""type"":""Point"",""coordinates"":[107.0299685189865,-5.925680539603001]}"
71,1,"{""type"":""Point"",""coordinates"":[107.03099848724823,-5.926022027755781]}"
72,1,"{""type"":""Point"",""coordinates"":[107.03168513275604,-5.926150085758612]}"
73,1,"{""type"":""Point"",""coordinates"":[107.03584792114714,-5.924186526450933]}"
74,1,"{""type"":""Point"",""coordinates"":[107.035461683049,-5.924869504393535]}"
75,1,"{""type"":""Point"",""coordinates"":[107.03507544495086,-5.92572322563366]}"
76,1,"{""type"":""Point"",""coordinates"":[107.03481795288542,-5.926064713760028]}"
77,1,"{""type"":""Point"",""coordinates"":[107.0299685189865,-5.926705003427543]}"
78,1,"{""type"":""Point"",""coordinates"":[107.02945353485563,-5.9270464909464895]}"
79,1,"{""type"":""Point"",""coordinates"":[107.02520491577604,-5.925210993048001]}"
80,1,"{""type"":""Point"",""coordinates"":[107.05284662135192,-5.927849826044316]}"
81,1,"{""type"":""Point"",""coordinates"":[107.05379075892516,-5.928148627015102]}"
